,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
723,Tales of the City,2019,Valencia btwn Liberty and 21st St,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
724,Steve Jobs,2015,Davies Symphony Hall (201 Van Ness Ave.),,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen
725,DEVS,2020,Sycamore Alley,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
726,The Last Black Man in San Francisco,2019,"Chateau Tivoli, 1057 Steiner St",,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
727,"Smile Again, Jenny Lee",2015,87 Cervantes Blvd (beach),,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
728,Time After Time,1979,Intersection of California & Grant Streets (Richmond District),,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
729,A Smile Like Yours,1997,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,
730,Big Eyes,2014,Way Faire Inn on Leidesdorff,,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz
731,Chance Season 2,2017,Filbert St at Stockton St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
732,The Last Black Man in San Francisco,2019,"Sunset Super, 2425 Irving St",,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
733,"Murder in the First, Season 1",2014,1821 Alabama Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
734,Shang-Chi and the Legend of the Ten Rings,2021,"Fairmont Hotel, 950 Mason",,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina
735,The Phone/Jexi,2019,Zoe St btwn Brannan and Freelon St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
736,Bullitt,1968,1153-57 Taylor Street,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
737,Nine Months,1995,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
738,The Diary of a Teenage Girl,2015,Tank Hill Park,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
739,Chance- Season 1 ep102,2016,Heron and Berwick Alleys,,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee
740,Looking Season 2 ep 204,2015,1890 Clay Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
741,Americana,2015,Coi Restaurant (373 Broadway),,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
742,Looking Season 2 ep 202,2015,601 Buena Vista Ave West,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
743,The Rock,1996,New Russian Hill Market (1198 Pacific Avenue at Jones),,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,
744,The Matrix Resurrections,2021,Fremont at Mission,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
745,Sense8,2015,S. Van Ness,Driving shots,The Wachowskis,The Wachowskis,Jamie Clayton,,
746,DEVS,2020,Broadway at Columbus,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
747,The Other Sister,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,
748,Looking,2014,The Stud,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
749,Star Trek IV: The Voyage Home,1986,Intersection of Columbus & Kearney Streets,,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei
750,Sense8 - Season 2,2016,Montgomery between Green and Broadway,,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
751,Greed,1924,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt
752,GirlBoss,2017,Clarion Alley between Valencia and Mission,The murals that make up this famous alley were first painted in 1992 and still looked after by the Clarion Alley Mural Project.,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
753,Chance- Season 1 ep110,2016,1 Urbano,,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
754,I Am Michael,2015,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th",,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto
755,"Play it Again, Sam",1972,Hyde Street Cable Car,,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts
756,Venom,2018,Grant Ave btwn Pine and Jackson,Motorcycle/SUV chase scene,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
757,Chance Season 2,2017,Embarcadero at Vallejo St.,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
758,Looking,2014,2413 Harrison St.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
759,Dim Sum: A Little Bit of Heart,1985,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong
760,Women is Losers,2020,F Train Charter,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
761,D.O.A,1950,Market Street (from 6th- 4th Streets),,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler
762,Looking Season 2 ep 206,2015,745 Treat Ave.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
763,The OA Part II,2019,Pier 7,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
764,Sudden Impact,1983,Ferry Plaza,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle
765,Take the Money and Run,1969,Golden Gate Park,,Woody Allen,Woody Allen,Woody Allen,Janet Margolin,
766,When a Man Loves a Woman,1994,766 Vallejo Street at Stockton Street (North Beach),,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
767,Bullitt,1968,Larkin & Francisco Streets (Russian Hill),,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
768,180,2011,Mason & California Streets (Nob Hill),,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand
769,Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
770,Tales of the City,2019,Montgomery and Vallejo,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
771,The Wedding Planner,2001,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,
772,The Dead Pool,1988,Washington Square Park (North Beach),"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington.",Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
773,Looking Season 2 ep 203,2015,"Mission Rec Center, 2450 Harrison Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
774,Final Analysis,1992,"Presidio, Golden Gate National Recreation Area","In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
775,Looking,2014,Market & Church St.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
776,Milk,2008,Marine Fireman's Union Headquarters,,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,
777,Chance- Season 1 ep104,2016,200 Kansas St.,,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
778,Swingin' Along,1961,Powell Street,,Charles Barton,Jameson Brewer,Tommy Noonan,Barbara Eden,Peter Marshall
779,Time After Time,1979,Old St. Mary's Church (660 California Street at Grant),,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
780,Etruscan Smile,2017,San Francisco City Hall,The museum party interiors were shot in the Historic San Francisco City Hall.,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
781,Cardinal X,2015,1458 33rd Ave.,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode
782,The Enforcer,1976,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
783,Sense8 - Season 2,2016,"The Castro Theater, 429 Castro St.",The theater has an organ which is played before every film showing.,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
784,Venom,2018,Hemlock Alley btwn Polk and Larkin,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
785,CSI: NY- episode 903,2012,Palace of Fine Arts,,Vikki Williams,Anthony E. Zuiker,Gary Sinise,Sela Ward,
786,The Diary of a Teenage Girl,2015,Hamburger Haven,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
787,Looking Season 2 ep 210,2015,BART Station @ 16th Street & Mission Streets,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
788,"Murder in the First, Season 1",2014,Joice Street at Clay Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
789,Ant-Man,2015,Market between Stuart and Van Ness,Driving shots,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
790,Super Pumped: The Battle for Uber,2022,Grant Avenue between O'Farrell to Geary,,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé
791,Basic Instinct,1992,Raw Hide II (280 Seventh Street),,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
792,Chance - Season 1 Pilot,2016,"Ellis Food Center, 398 Ellis",,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
793,Marnie,1964,"On Board the SS President Cleveland, docked at Pier 50",,Alfred Hitchcock,Jay Presson Allen,Tippi Hedren,Sean Connery,Martin Gabel
794,The Matrix Resurrections,2021,44 Montogomery,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
795,Shang-Chi and the Legend of the Ten Rings,2021,Stockton and Bush,,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina
796,Freebie and the Bean,1974,Folsom Street (SOMA),,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
797,Bitter Melon,2018,386 4th Ave,,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera
798,Serial,1980,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Bill Persky,Rich Eustis,Martin Mull,Tuesday Weld,
799,Summertime,2015,20th St and Church (3885 20th St),,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
800,The Internship,2013,Grant Ave from Sacramento to Clay,,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
801,Pal Joey,1957,Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.",George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak
802,So I Married an Axe Murderer,1993,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
803,Sausalito,2000,The Castro,"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",Andrew Lau,,Maggie Cheung,Leon Lai,
804,"Murder in the First, Season 2",2015,1400 16th Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
805,Always Be My Maybe,2019,Pier 45 - Musee Mechanique,,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves
806,What's Up Doc?,1972,San Francisco Hilton (333 O'Farrell Street),,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,
807,"Murder in the First, Season 3",2016,887 De Haro Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
808,Mrs. Doubtfire,1993,516 Green Street,,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
809,The Game,1997,Merchant Exchange Building,,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
810,Blue Jasmine,2013,330 Santa Clara Ave.,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
811,Doctor Dolittle,1998,2100 Green Street,,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,
812,Ant-Man,2015,Lombard at Hyde,,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
813,Class Action,1991,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
814,Chance- Season 1 ep110,2016,1901 Ocean Ave. at Ashton Ave.,,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
815,The Last Thing He Told Me,2023,"168 2nd Street, Blue Bottle Coffee",,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler
816,Chance- Season 1 ep108,2016,Fairmont Hotel,"The Fairmont Hotel was featured in many films, including The Rock and the TV series Hotel",Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee
817,Surface,2022,Vallejo Street between Jones and Vallejo Street Crest,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
818,Heart and Souls,1993,Conservatory of Flowers (Golden Gate Park),"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Tomas Gislason,Tomas Gislason,Jorgen Leth,,
819,DEVS,2020,Leavenworth at Filbert St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
820,Mother,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Albert Brooks,Albert Brooks,Albert Brooks,Debbie Reynolds,
821,GirlBoss,2017,1375 Haight St.,,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
822,A Taiwanese Tale of Two Cities,2018,Bernal Heights Park,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
823,Basic Instinct,1992,Pier 7 (The Embarcadero),,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
824,Goliath- Season 4,2021,Green at Varennes St,,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
825,The Phone/Jexi,2019,956 Pierce St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
826,The Last Black Man in San Francisco,2019,"Red Building, 2567 Mission St",,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
827,San Andreas,2015,AT&T Stadium,"3 characters run out of stadium, there is a group of people on the sidewalk, an earthquake hits, and they duck for cover",Brad Peyton,Allan Loeb,Dwayne Johnson,,
828,"Looking ""Special""",2016,Bernal Heights Neighborhood,"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom.",Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
829,Love & Taxes,2014,198 Gough Street,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,
830,San Andreas,2015,Coit Tower,,Brad Peyton,Allan Loeb,Dwayne Johnson,,
831,When a Man Loves a Woman,1994,"International Studies Academy (993 Vermont Street, Potrero Hill)",,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
832,Shit and Champagne,2020,2 Mint Plaza,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
833,Ant-Man and the Wasp,2018,Pier 27,,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
834,When We Rise,2017,"Twin Peaks Bar, 401 Castro",,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
835,Desperate Measures,1998,,,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone
836,"Murder in the First, Season 1",2014,Alamo Square Park,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
837,Godzilla,2014,Embarcadero & Washington,,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
